img_id,img_filename,y,split,place,place_filename
1,Black_Footed_Albatross_0046_18.jpg,1,2,1,/o/ocean/00002178.jpg
3,Black_Footed_Albatross_0002_55.jpg,1,2,0,/b/bamboo_forest/00000131.jpg
6,Black_Footed_Albatross_0085_92.jpg,1,2,1,/l/lake/natural/00002698.jpg
10,Black_Footed_Albatross_0025_796057.jpg,1,2,1,/o/ocean/00002073.jpg
12,Black_Footed_Albatross_0086_796062.jpg,1,2,0,/b/bamboo_forest/00004105.jpg
13,Black_Footed_Albatross_0049_796063.jpg,1,2,0,/b/bamboo_forest/00003253.jpg
14,Black_Footed_Albatross_0006_796065.jpg,1,2,0,/b/bamboo_forest/00000537.jpg
16,Black_Footed_Albatross_0016_796067.jpg,1,2,0,/b/bamboo_forest/00004439.jpg
17,Black_Footed_Albatross_0065_796068.jpg,1,2,1,/o/ocean/00004537.jpg
19,Black_Footed_Albatross_0042_796071.jpg,1,2,1,/l/lake/natural/00001495.jpg
22,Black_Footed_Albatross_0090_796077.jpg,1,2,0,/f/forest/broadleaf/00000350.jpg
24,Black_Footed_Albatross_0061_796082.jpg,1,2,1,/l/lake/natural/00004881.jpg
25,Black_Footed_Albatross_0008_796083.jpg,1,2,1,/l/lake/natural/00004601.jpg
26,Black_Footed_Albatross_0033_796086.jpg,1,2,1,/o/ocean/00002298.jpg
27,Black_Footed_Albatross_0024_796089.jpg,1,2,1,/o/ocean/00003669.jpg
28,Black_Footed_Albatross_0005_796090.jpg,1,2,0,/f/forest/broadleaf/00003480.jpg
29,Black_Footed_Albatross_0026_796095.jpg,1,2,0,/f/forest/broadleaf/00002274.jpg
33,Black_Footed_Albatross_0064_796101.jpg,1,2,1,/o/ocean/00001113.jpg
34,Black_Footed_Albatross_0076_417.jpg,1,2,0,/f/forest/broadleaf/00000960.jpg
38,Black_Footed_Albatross_0053_796109.jpg,1,2,1,/l/lake/natural/00003318.jpg
39,Black_Footed_Albatross_0001_796111.jpg,1,2,0,/b/bamboo_forest/00000597.jpg
44,Black_Footed_Albatross_0037_796120.jpg,1,2,1,/o/ocean/00003632.jpg
45,Black_Footed_Albatross_0082_796121.jpg,1,2,0,/b/bamboo_forest/00004648.jpg
47,Black_Footed_Albatross_0050_796125.jpg,1,2,0,/f/forest/broadleaf/00003543.jpg
48,Black_Footed_Albatross_0078_796126.jpg,1,2,0,/b/bamboo_forest/00002884.jpg
50,Black_Footed_Albatross_0045_796129.jpg,1,2,0,/b/bamboo_forest/00000021.jpg
52,Black_Footed_Albatross_0088_796133.jpg,1,2,0,/b/bamboo_forest/00000605.jpg
54,Black_Footed_Albatross_0003_796136.jpg,1,2,1,/l/lake/natural/00003331.jpg
57,Black_Footed_Albatross_0035_796140.jpg,1,2,0,/b/bamboo_forest/00000737.jpg
